Paul Young,Love Of The Common People,1984,0.04095485102321218
THE INK SPOTS,The Gypsy,1946,0.0742174909850233
Supertramp,Bloody Well Right,1974,0.009585689057587532
Helen Reddy,Keep On Singing,1974,0.010133393042678003
Novaspace,Paradise,2003,0.004542821441549647
Ne-Yo,Closer,2008,0.07531012702938772
Scooter,I'm Raving,1996,0.013634097232972407
Queen,Headlong,1991,0.013241543617994771
Amos Milburn,After Midnite,1946,0.006602045415805069
Tavares,Heaven Must Be Missing An Angel,1976,0.05032056300607023
Boston,Peace Of Mind,1977,0.014757088868454123
Ozzy Osbourne,Bark At The Moon,1983,0.034249991517775566
Dusty Springfield,Spooky,1970,0.0026202113718553966
Bon Jovi,Runaway,1984,0.0145213432410423
Kool & The Gang,Celebration,1981,0.09268665104629778
The Rolling Stones,Not Fade Away,1964,0.01402001875970182
Jimmie Rodgers,The Wizard,1958,0.007875783270696062
Don McLean,Chain Lightning,1980,0.006682914557453608
Pearl Jam,Last Kiss,1999,0.06128159426939256
V V Brown,Shark In The Water,2010,0.01720523302288808
Marvin Gaye,You're The Man,1972,0.004597320318349733
The Shirelles,Everybody Loves a Lover,1962,0.008329823805818018
Charley Patton,Pony Blues,1929,0.04063194341612067
Adam Lambert,For Your Entertainment,2009,0.028587480760751106
The Who,Summertime Blues,1970,0.018554075458709348
Barry White,Let The Music Play,1976,0.019679002525776302
Stan Freberg,Heartbreak Hotel,1956,0.009135506736226066
The Jam,The Night,1978,0.007397783964324348
Roy Orbison,With The Bug,1959,0.004631541645402716
Deep Purple,Highway Star,1972,0.009702056633701269
Peggy Lee,I Don't Know Enough About You,1946,0.012153863578600207
The Stone Roses,One Love,1990,0.01376513613250782
Coldplay,Fix You,2005,0.044583181877352406
Jay & The Americans,Come Dance With Me,1963,0.007606367909455314
Mario Lanza,O Sole Mio,1949,0.006887826894714993
James Taylor,You Can Close Your Eyes,1971,0.0030641463732993916
Jimmie Lunceford,Avalon,1935,0.007893872308434783
Deniece Williams,Free,1977,0.017192814368238597
Kanye West,Through The Wire,2004,0.03267908349059999
The Sweet,Burning,1973,0.002972068440037451
Mario Lanza,Be My Love,1951,0.08768492867083431
Eddy Grant,Romancing The Stone,1984,0.012803891127358536
Art Tatum,Tea for two,1939,0.04808889454761675
Diana Ross,Your Love,1993,0.006023253123618812
Jay & The Americans,Come A Little Bit Closer,1964,0.03905011790945531
John Mayer,Clarity,2004,0.0100050872080419
Gwen Stefani,U Started It,2007,0.006900487509640137
Sonny James,Young Love,1956,0.03918552528966479
Dolly Parton,9 to 5,1981,0.07938538406023216
Suzi Quatro,I've Never Been In Love,1979,0.005216615215570763
The Clash,First Night Back In London,1982,0.0045621869194122575
Jeff Buckley,Hallelujah,2007,0.05894413747465199
Wet Wet Wet,Julia Says,1995,0.023344816742412056
Jewel,Near You Always,1996,0.005981809274733596
Roxy Music,The Thrill Of It All,1974,0.002936376709902249
Boston,More Than A Feeling,1976,0.06116296932598751
The Hollies,On A Carousel,1967,0.03050314014650889
Christina Aguilera,Genie In A Bottle,1999,0.1301602735305192
Enigma,Silence Must Be Heard,2000,0.0069784363104843945
Ricky Nelson,I Got A Feeling,1958,0.014741761861541984
Wes Montgomery,Movin' Along,1961,0.011422579099404733
Sly & The Family Stone,Loose Booty,1974,0.002848013568108232
Lordi,Hard Rock Hallelujah,2006,0.036818529312185516
Louis Prima,Bell Bottom Trousers,1945,0.022031332051478832
Sheryl Crow,Light In Your Eyes,2004,0.005651799057729482
SWV,It's All About U,1996,0.008767394512581147
Journey,Lights,1978,0.0060296274664888155
Rihanna,Unfaithful,2006,0.11905116810391976
Hank Ballard & The Midnighters,The Twist,1959,0.015266429974750858
Nirvana,Been A Son,1992,0.006418540464729642
The White Stripes,Icky Thump,2007,0.03179012080463718
Brenda Lee,Sweet Nothin's,1960,0.03472598762484543
Jan & Dean,Ride The Wild Surf,1964,0.013058417816680337
Holly Dolly,Don't Worry Be Happy,2007,0.005356818685042852
Harold Melvin & The Bluenotes,Don't Leave Me This Way,1976,0.01139109265883652
Bros,Too Much,1989,0.028907840610087603
Seal,Don't Cry,1996,0.013146447754153648
Johnny Cash,Straight A's in Love,1960,0.0046590869782597915
Kool & The Gang,Hollywood Swinging,1974,0.02516790104629776
REO Speedwagon,Ridin' The Storm Out,1977,0.003600980067324865
The Everly Brothers,I'm Here To Get My Baby Out of Jail,1962,0.0038442145545520908
Muddy Waters,Walkin' Blues,1950,0.006432168004206626
Nas,It Ain't Hard To Tell,1994,0.014219936135238661
Bessie Smith,New Orleans Hop Scop Blues,1930,0.009214788477443793
Bananarama,Move In My Direction,2005,0.014382833424050157
Dionne Warwick,Anyone Who Had a Heart,1964,0.02868545968471589
Squeeze,Model,1979,0.003751064339383886
Fats Domino,Be My Guest,1959,0.03075832801396508
Nine Inch Nails,Only,2005,0.01759149046600736
Chic,My Forbidden Lover,1979,0.012811300638267391
Rush,Limelight,1981,0.014526134058260207
Slade,Do You Believe In Miracles,1985,0.0033404585896437554
Ringo Starr,Snookeroo,1975,0.006177611930828893
The Cranberries,No Need To Argue,1994,0.11461899081705139
Ella Fitzgerald,And Her Tears Flowed Like Wine,1945,0.0076313262117266275
Bananarama,Only Your Love,1990,0.00735147962896715
Pino Daniele,Come Un Gelato All'Equatore,1999,0.005419020538397118
Kenny Rogers,I Can't Unlove You,2006,0.005202423780148945
James Taylor,Shower the People,1976,0.010195458049101123
Dee Clark,Raindrops,1961,0.04041761059339509
Stevie Wonder,Go Home,1985,0.011724749153763958
Poison,Look What The Cat Dragged In,1987,0.029120551804152642
Bob Dylan,Isis,1984,0.0046618376669435736
Evelyn Knight,A Little Bird Told Me,1949,0.09601020926482076
Ornella Vanoni,Uomo mio bambino mio,1975,0.008577947575498198
The Smiths,Last Night I Dreamt That Somebody Loved Me,1987,0.008161715354894634
Boyz II Men,On Bended Knee,1994,0.08226827306645693
Michael Jackson,The Way You Make Me Feel,1988,0.08668094402423823
Roxy Music,Virginia Plain,1972,0.022549405652238168
Ashford & Simpson,Solid,1985,0.03644388352671207
Rascal Flatts,Bless The Broken Road,2004,0.022876899420552058
Shalamar,The Second Time Around,1980,0.028265282287374384
Eddy Grant,I Don't Wanna Dance,1983,0.05428647792482244
Roy Acuff,Wabash Cannonball,1942,0.04546521293132987
Kanye West,Diamonds From Sierra Leone,2005,0.0394669868242737
Chakra,Home,1997,0.005629995603456326
The Rubettes,Tonight,1974,0.028836800482468228
The Orioles,Barfly,1952,0.005437634205327897
The Byrds,America's Great National Pastime,1971,0.004785364159483872
Destiny's Child,Cater 2 U,2005,0.026777295966616432
Franz Ferdinand,The Fallen,2006,0.015573265175838473
ABC,One Better World,1989,0.004445905345866698
Basshunter,Please Don't Go,2008,0.006943740515653078
Rammstein,MEIN TEIL,2004,0.02149386728811811
Donovan,Hurdy Gurdy Man,1968,0.04946658857400876
DJ Jazzy Jeff & The Fresh Prince,A Touch Of Jazz,1987,0.00428550324034285
The Platters,With This Ring,1967,0.008624747543781288
